ride_id,start_time,duration_minutes,end_time,start_zone,end_zone,distance_km,user_type,day_of_week,hour,speed_kmph,is_peak_hour
c05c91f9-5e61-4e99-80d1-04a88a1892c5,2024-06-01 00:00:00,9,2024-06-01 00:09:00,Bromma,Bromma,1.55,subscriber,Saturday,0,10.333333333333334,0
93ac60a1-83ee-4086-b120-442415c223c9,2024-06-01 00:01:00,22,2024-06-01 00:23:00,Enskede,Vasastan,3.95,subscriber,Saturday,0,10.772727272727273,0
ec883c19-440f-4967-9988-b04689b6c324,2024-06-01 00:02:00,17,2024-06-01 00:19:00,Norrmalm,Hägersten,2.29,subscriber,Saturday,0,8.08235294117647,0
2304f573-006d-4092-bf30-ef4ff1d124e0,2024-06-01 00:03:00,13,2024-06-01 00:16:00,Norrmalm,Södermalm,2.28,casual,Saturday,0,10.523076923076921,0
e05527b1-425f-40ee-a1ad-1d7027aa11f6,2024-06-01 00:04:00,10,2024-06-01 00:14:00,Östermalm,Vasastan,2.61,subscriber,Saturday,0,15.66,0
8c3afc57-55a2-4ecb-b572-e8f0ebb3ec6f,2024-06-01 00:05:00,23,2024-06-01 00:28:00,Vasastan,Södermalm,5.98,casual,Saturday,0,15.6,0
e9d04204-05f4-4ac0-b500-d88c6274880a,2024-06-01 00:06:00,9,2024-06-01 00:15:00,Liljeholmen,Bromma,2.58,subscriber,Saturday,0,17.200000000000003,0
2bfc0024-165f-48c2-9a92-aa610e559630,2024-06-01 00:07:00,21,2024-06-01 00:28:00,Södermalm,Östermalm,3.79,casual,Saturday,0,10.82857142857143,0
79817f6c-aff7-493c-95d4-151bcf27d60e,2024-06-01 00:08:00,25,2024-06-01 00:33:00,Hägersten,Östermalm,6.04,casual,Saturday,0,14.495999999999999,0
e312474e-a52f-4bc2-9d5e-cd1f89b9fe7b,2024-06-01 00:09:00,13,2024-06-01 00:22:00,Enskede,Kungsholmen,2.62,casual,Saturday,0,12.092307692307692,0
21182f6e-59c5-4bd9-b656-a53a4167b2cf,2024-06-01 00:10:00,13,2024-06-01 00:23:00,Bromma,Vasastan,3.39,casual,Saturday,0,15.646153846153846,0
0a6ac626-8fa2-4d86-927b-8b3aab6a2b30,2024-06-01 00:11:00,23,2024-06-01 00:34:00,Vasastan,Södermalm,5.58,subscriber,Saturday,0,14.556521739130433,0
1345dc08-f572-48ca-af3d-a7227a74d06c,2024-06-01 00:12:00,6,2024-06-01 00:18:00,Östermalm,Enskede,1.04,subscriber,Saturday,0,10.4,0
5a4d2502-289f-4311-963a-340b7d1ad684,2024-06-01 00:13:00,10,2024-06-01 00:23:00,Hägersten,Vasastan,1.67,subscriber,Saturday,0,10.02,0
